module,leaf solids,native CSG,flat CSG,exact surfaces,tessellated,% CSG,agrees with source,writer declines
MFT,19591,19483,4,96,8,99.5,19478/19487,8
TRD,1170,1167,3,0,0,100.0,1170/1170,1
MCH,394,394,0,0,0,100.0,394/394,0
TOF,276,273,3,0,0,100.0,276/276,4
ITS,264,250,5,9,0,96.6,255/255,1
PIPE,176,166,0,9,1,94.3,166/166,0
EMC,174,174,0,0,0,100.0,174/174,0
TPC,172,163,2,7,0,95.9,165/165,6
ZDC,166,166,0,0,0,100.0,166/166,10
MID,139,139,0,0,0,100.0,139/139,0
HMP,95,95,0,0,0,100.0,95/95,0
FV0,87,75,0,6,6,86.2,75/75,0
FT0,85,81,1,3,0,96.5,82/82,0
PHS,49,49,0,0,0,100.0,49/49,0
ABSO,29,29,0,0,0,100.0,29/29,1
MAG,22,20,2,0,0,100.0,22/22,0
CPV,12,12,0,0,0,100.0,12/12,0
**all 17**,22901,22736,20,130,15,99.37,22747/22756,31
